model,category,accuracy,f1_score
TF-IDF + NB (Politics),tes,0.9572363172171693,0.9571013773216066
TF-IDF + NB (Education),tes,0.9391982182628063,0.9391566050471203
TF-IDF + NB (General),tes,0.9105822407257814,0.9106379249067644
TF-IDF + NB (Economy),tes,0.8370720188902007,0.7661887658917635
